num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,long_name,conc,area,ref,ref_sd,temp_coef,tc_mean,tc_rd,mean,stdv,min,max,temp
1,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2462.84,-18.58842199,2587.5,55.972,2450,2650,21.78
2,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2146.88,-1.769111256,2257.5,47.133,2150,2350,21.78
3,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1838.44,-3.305314381,1932.875,57.878,1800,2050,21.78
4,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1491.81,-3.752639092,1569.5,46.002,1480,1640,21.78
5,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1245.77,-17.53993077,1314,42.741,1200,1400,21.78
6,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,952.16,-7.235591761,1006.25,34.508,920,1080,21.78
7,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,692.79,-13.9496888,730.75,22.034,680,780,21.78
8,1,PH033,MRF,22/01/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,524.38,-12.59827042,553,17.166,520,580,21.78
9,1,PH033,MRF,22/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2410.3,-20.32497936,2528.75,58.879,2450,2650,21.78
10,1,PH033,MRF,22/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2115.87,-3.187679013,2221.25,57.794,2150,2350,21.78
