num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,conc,area,mean,stdv,min,max,temp
1,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1369.112,96.553,1225,1710,20.62
2,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T1a,S2,S2_T1a,NiCl2-2,0.6,80,619.2,1093.22,0,2954,20.62
3,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T1a,S3,S3_T1a,NiCl2-3,1.04,80,1284.825,330.858,899,2272,20.62
4,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T1a,S4,S4_T1a,NiCl2-4,1.64,80,569.538,37.828,490,702,20.62
5,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T1a,S5,S5_T1a,NiCl2-5,2.52,80,379.887,13.445,351,410,20.62
6,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,594.388,9.582,570,615,20.62
7,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,405.75,5.425,389,419,20.62
8,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,282.15,3.705,273,290,20.62
9,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,190.225,2.895,182,196,20.62
10,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,138.35,2.228,133,142,20.62
11,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,96.138,1.826,91,101,20.62
12,1,PH038,MESE,29/01/2020,PRISMA,MESE,T2,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,66.487,1.575,62,69,20.62
