num,session,code,sequence,date,scanner,dictionary,map,array,sphere_num,sphere,sphere_name_sh,NIST_name,conc,mean,stdv,temp
,ref,ref,ref,ref,ref,ref,T2,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,1705.84,16.03,16
,ref,ref,ref,ref,ref,ref,T2,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,1823.56,17.14,18
,ref,ref,ref,ref,ref,ref,T2,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,1928.33,18.13,20
,ref,ref,ref,ref,ref,ref,T2,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,2023.15,19.02,22
,ref,ref,ref,ref,ref,ref,T2,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,2139.79,20.11,24
,ref,ref,ref,ref,ref,ref,T2,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,2205.31,20.73,26
,ref,ref,ref,ref,ref,ref,T1,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,2669.83,66.75,16
,ref,ref,ref,ref,ref,ref,T1,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,2862.34,71.56,18
,ref,ref,ref,ref,ref,ref,T1,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,3025.17,75.63,20
,ref,ref,ref,ref,ref,ref,T1,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,3191.54,79.79,22
,ref,ref,ref,ref,ref,ref,T1,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,3365.05,84.13,24
,ref,ref,ref,ref,ref,ref,T1,T2a,1,S1,S1_T2a,MnCl2-1,0.0108,3536.79,88.42,26
,ref,ref,ref,ref,ref,ref,T1,T1a,1,S1,S1_T1a,NiCl2-1,0.29,1766.68,28.54,16
,ref,ref,ref,ref,ref,ref,T1,T1a,1,S1,S1_T1a,NiCl2-1,0.29,1830.34,29.44,18
,ref,ref,ref,ref,ref,ref,T1,T1a,1,S1,S1_T1a,NiCl2-1,0.29,1883.97,30.32,20
,ref,ref,ref,ref,ref,ref,T1,T1a,1,S1,S1_T1a,NiCl2-1,0.29,1937.34,28.54,22
,ref,ref,ref,ref,ref,ref,T1,T1a,1,S1,S1_T1a,NiCl2-1,0.29,1987.5,29.44,24
